Date,weight_lb,Weight
2010-12-07,180,180
2010-12-08,180,180
2010-12-09,NA,179.3
2010-12-10,NA,178.6
2010-12-11,NA,177.9
2010-12-12,NA,177.1
2010-12-13,NA,176.4
2010-12-14,NA,175.7
2010-12-15,175,175
2010-12-16,NA,175
2010-12-17,175,175
2010-12-18,NA,174.4
2010-12-19,NA,173.8
2010-12-20,NA,173.2
2010-12-21,NA,172.6
2010-12-22,172,172
2010-12-23,NA,172
2010-12-24,172,172
2010-12-25,169,169
2010-12-26,NA,168.5
2010-12-27,NA,168
2010-12-28,NA,167.5
2010-12-29,NA,167
2010-12-30,NA,166.5
2010-12-31,166,166
2011-01-01,NA,166
2011-01-02,166,166
2011-01-03,NA,165
2011-01-04,164,164
2011-01-05,NA,164.5
2011-01-06,NA,165
2011-01-07,NA,165.5
2011-01-08,166,166
2011-01-09,NA,165.6
2011-01-10,NA,165.1
2011-01-11,NA,164.7
2011-01-12,NA,164.3
2011-01-13,NA,163.9
2011-01-14,NA,163.4
2011-01-15,163,163
2011-01-16,NA,162.8
2011-01-17,NA,162.5
2011-01-18,NA,162.2
2011-01-19,162,162
2011-01-20,NA,161.5
2011-01-21,161,161
2011-01-22,NA,160.7
2011-01-23,NA,160.3
2011-01-24,160,160
2011-01-25,NA,159.8
2011-01-26,NA,159.5
2011-01-27,NA,159.2
2011-01-28,159,159
2011-01-29,158,158
2011-01-30,NA,158.2
2011-01-31,NA,158.5
2011-02-01,NA,158.8
2011-02-02,159,159
2011-02-03,NA,159.7
2011-02-04,NA,160.3
2011-02-05,161,161
2011-02-06,158,158
2011-02-07,157,157
2011-02-08,NA,156.4
2011-02-09,NA,155.9
2011-02-10,NA,155.3
2011-02-11,NA,154.7
2011-02-12,NA,154.1
2011-02-13,NA,153.6
2011-02-14,153,153
2011-02-15,153,153
2011-02-16,NA,152.5
2011-02-17,NA,152
2011-02-18,NA,151.5
2011-02-19,151,151
2011-02-20,NA,150.5
2011-02-21,150,150
2011-02-22,NA,149.8
2011-02-23,NA,149.5
2011-02-24,NA,149.2
2011-02-25,149,149
2011-02-26,NA,148.9
2011-02-27,NA,148.9
2011-02-28,NA,148.8
2011-03-01,NA,148.7
2011-03-02,NA,148.7
2011-03-03,NA,148.6
2011-03-04,NA,148.5
2011-03-05,NA,148.5
2011-03-06,NA,148.4
2011-03-07,NA,148.3
2011-03-08,NA,148.3
2011-03-09,NA,148.2
2011-03-10,NA,148.1
2011-03-11,NA,148.1
2011-03-12,148,148
2011-03-13,NA,148
2011-03-14,148,148
2011-03-15,NA,147.7
2011-03-16,NA,147.3
2011-03-17,147,147
2011-03-18,NA,145.9
2011-03-19,NA,144.7
2011-03-20,143.6,143.6
2011-03-21,NA,143.9
2011-03-22,144.2,144.2
2011-03-23,NA,144.1
2011-03-24,NA,144
2011-03-25,NA,143.8
2011-03-26,NA,143.7
2011-03-27,NA,143.6
2011-03-28,NA,143.5
2011-03-29,NA,143.3
2011-03-30,NA,143.2
2011-03-31,NA,143.1
2011-04-01,NA,143
2011-04-02,NA,142.8
2011-04-03,NA,142.7
2011-04-04,142.6,142.6
2011-04-05,141.6,141.6
2011-04-06,NA,141.8
2011-04-07,NA,142
2011-04-08,NA,142.2
2011-04-09,NA,142.3
2011-04-10,NA,142.5
2011-04-11,NA,142.7
2011-04-12,NA,142.9
2011-04-13,NA,143.1
2011-04-14,NA,143.2
2011-04-15,NA,143.4
2011-04-16,NA,143.6
2011-04-17,NA,143.8
2011-04-18,NA,144
2011-04-19,NA,144.2
2011-04-20,NA,144.3
2011-04-21,NA,144.5
2011-04-22,NA,144.7
2011-04-23,NA,144.9
2011-04-24,NA,145.1
2011-04-25,NA,145.3
2011-04-26,NA,145.4
2011-04-27,NA,145.6
2011-04-28,NA,145.8
2011-04-29,146,146
2011-04-30,NA,145.8
2011-05-01,NA,145.5
2011-05-02,NA,145.3
2011-05-03,NA,145
2011-05-04,NA,144.8
2011-05-05,NA,144.5
2011-05-06,NA,144.3
2011-05-07,NA,144
2011-05-08,NA,143.8
2011-05-09,NA,143.6
2011-05-10,NA,143.3
2011-05-11,NA,143.1
2011-05-12,NA,142.8
2011-05-13,NA,142.6
2011-05-14,NA,142.3
2011-05-15,NA,142.1
2011-05-16,NA,141.8
2011-05-17,141.6,141.6
2011-05-18,NA,141.7
2011-05-19,NA,141.7
2011-05-20,NA,141.8
2011-05-21,NA,141.8
2011-05-22,NA,141.8
2011-05-23,NA,141.9
2011-05-24,NA,141.9
2011-05-25,142,142
2011-05-26,NA,142
2011-05-27,NA,142
2011-05-28,NA,142.1
2011-05-29,NA,142.1
2011-05-30,NA,142.1
2011-05-31,NA,142.1
2011-06-01,NA,142.1
2011-06-02,NA,142.2
2011-06-03,NA,142.2
2011-06-04,NA,142.2
2011-06-05,NA,142.2
2011-06-06,NA,142.2
2011-06-07,NA,142.3
2011-06-08,NA,142.3
2011-06-09,NA,142.3
2011-06-10,NA,142.3
2011-06-11,NA,142.3
2011-06-12,NA,142.4
2011-06-13,NA,142.4
2011-06-14,NA,142.4
2011-06-15,NA,142.4
2011-06-16,NA,142.5
2011-06-17,NA,142.5
2011-06-18,NA,142.5
2011-06-19,NA,142.5
2011-06-20,NA,142.5
2011-06-21,NA,142.6
2011-06-22,NA,142.6
2011-06-23,NA,142.6
2011-06-24,NA,142.6
2011-06-25,NA,142.6
2011-06-26,NA,142.7
2011-06-27,NA,142.7
2011-06-28,NA,142.7
2011-06-29,NA,142.7
2011-06-30,NA,142.7
2011-07-01,NA,142.8
2011-07-02,NA,142.8
2011-07-03,NA,142.8
2011-07-04,NA,142.8
2011-07-05,NA,142.8
2011-07-06,NA,142.9
2011-07-07,NA,142.9
2011-07-08,NA,142.9
2011-07-09,NA,142.9
2011-07-10,NA,142.9
2011-07-11,NA,143
2011-07-12,NA,143
2011-07-13,NA,143
2011-07-14,NA,143
2011-07-15,NA,143
2011-07-16,NA,143.1
2011-07-17,NA,143.1
2011-07-18,NA,143.1
2011-07-19,NA,143.1
2011-07-20,NA,143.2
2011-07-21,NA,143.2
2011-07-22,NA,143.2
2011-07-23,NA,143.2
2011-07-24,NA,143.2
2011-07-25,NA,143.3
2011-07-26,NA,143.3
2011-07-27,NA,143.3
2011-07-28,NA,143.3
2011-07-29,NA,143.3
2011-07-30,NA,143.4
2011-07-31,NA,143.4
2011-08-01,NA,143.4
2011-08-02,NA,143.4
2011-08-03,NA,143.4
2011-08-04,NA,143.5
2011-08-05,NA,143.5
2011-08-06,NA,143.5
2011-08-07,NA,143.5
2011-08-08,NA,143.5
2011-08-09,NA,143.6
2011-08-10,NA,143.6
2011-08-11,NA,143.6
2011-08-12,NA,143.6
2011-08-13,NA,143.6
2011-08-14,NA,143.7
2011-08-15,NA,143.7
2011-08-16,NA,143.7
2011-08-17,NA,143.7
2011-08-18,NA,143.7
2011-08-19,NA,143.8
2011-08-20,NA,143.8
2011-08-21,NA,143.8
2011-08-22,NA,143.8
2011-08-23,NA,143.8
2011-08-24,NA,143.9
2011-08-25,NA,143.9
2011-08-26,NA,143.9
2011-08-27,NA,143.9
2011-08-28,NA,144
2011-08-29,NA,144
2011-08-30,NA,144
2011-08-31,NA,144
2011-09-01,NA,144
2011-09-02,NA,144.1
2011-09-03,NA,144.1
2011-09-04,NA,144.1
2011-09-05,NA,144.1
2011-09-06,NA,144.1
2011-09-07,NA,144.2
2011-09-08,NA,144.2
2011-09-09,NA,144.2
2011-09-10,NA,144.2
2011-09-11,NA,144.2
2011-09-12,NA,144.3
2011-09-13,NA,144.3
2011-09-14,NA,144.3
2011-09-15,NA,144.3
2011-09-16,NA,144.3
