Year,Month,Avg_weight,Date
2010,12,173.3,2010-12-01
2011,1,162.49032258064517,2011-01-01
2011,2,153.62142857142857,2011-02-01
2011,3,146.2258064516129,2011-03-01
2011,4,143.72666666666666,2011-04-01
2011,5,142.81935483870967,2011-05-01
2011,6,142.44,2011-06-01
2011,7,143.07096774193548,2011-07-01
2011,8,143.70322580645163,2011-08-01
2011,9,144.33,2011-09-01
2011,10,144.88064516129032,2011-10-01
2011,11,144.79,2011-11-01
2011,12,144.56774193548387,2011-12-01
2012,1,144.32903225806453,2012-01-01
2012,2,144.1103448275862,2012-02-01
2012,3,143.89032258064518,2012-03-01
2012,4,143.66666666666666,2012-04-01
2012,5,143.43225806451613,2012-05-01
2012,6,143.21,2012-06-01
2012,7,142.98709677419356,2012-07-01
2012,8,142.75806451612902,2012-08-01
2012,9,142.52666666666667,2012-09-01
2012,10,142.30322580645162,2012-10-01
2012,11,142.12666666666667,2012-11-01
2012,12,143.30322580645162,2012-12-01
2013,1,141.91935483870967,2013-01-01
2013,2,139.88214285714287,2013-02-01
2013,3,139.61290322580646,2013-03-01
2013,4,137.24666666666667,2013-04-01
2013,5,137.66451612903225,2013-05-01
2013,6,139.35,2013-06-01
2013,7,140,2013-07-01
2013,8,140,2013-08-01
2013,9,140,2013-09-01
2013,10,140,2013-10-01
2013,11,140,2013-11-01
2013,12,140,2013-12-01
2014,1,140,2014-01-01
2014,2,140.01785714285714,2014-02-01
2014,3,141.50645161290322,2014-03-01
2014,4,143.86,2014-04-01
2014,5,141.3258064516129,2014-05-01
2014,6,141.98,2014-06-01
2014,7,142.7741935483871,2014-07-01
2014,8,143.58064516129033,2014-08-01
2014,9,144.38,2014-09-01
2014,10,145.1741935483871,2014-10-01
2014,11,145.96666666666667,2014-11-01
2014,12,146.44516129032257,2014-12-01
2015,1,146.51612903225808,2015-01-01
2015,2,143.4892857142857,2015-02-01
2015,3,145.75806451612902,2015-03-01
2015,4,146.02666666666667,2015-04-01
2015,5,142.71612903225807,2015-05-01
2015,6,138.88,2015-06-01
2015,7,136.18709677419355,2015-07-01
2015,8,136.06129032258065,2015-08-01
2015,9,135.31333333333333,2015-09-01
2015,10,135.09032258064516,2015-10-01
2015,11,134.76333333333332,2015-11-01
2015,12,136.2,2015-12-01
2016,1,135.94516129032257,2016-01-01
2016,2,136.32413793103447,2016-02-01
2016,3,135.71935483870968,2016-03-01
2016,4,134.91666666666666,2016-04-01
2016,5,135.0483870967742,2016-05-01
2016,6,133.06,2016-06-01
2016,7,135.32580645161292,2016-07-01
2016,8,137.02903225806452,2016-08-01
2016,9,136.64,2016-09-01
2016,10,135.00967741935483,2016-10-01
2016,11,134.74666666666667,2016-11-01
2016,12,135.29354838709676,2016-12-01
2017,1,134.5193548387097,2017-01-01
2017,2,133.41785714285714,2017-02-01
2017,3,133.79677419354837,2017-03-01
2017,4,133.92666666666668,2017-04-01
2017,5,132.0258064516129,2017-05-01
2017,6,133.06333333333333,2017-06-01
2017,7,132.9806451612903,2017-07-01
2017,8,132.8774193548387,2017-08-01
2017,9,132.3,2017-09-01
2017,10,131.80967741935484,2017-10-01
2017,11,131.38,2017-11-01
2017,12,131.03548387096774,2017-12-01
2018,1,133.11935483870968,2018-01-01
2018,2,132.49642857142857,2018-02-01
2018,3,132.1258064516129,2018-03-01
2018,4,132.22333333333333,2018-04-01
2018,5,130.88709677419354,2018-05-01
2018,6,129.23666666666668,2018-06-01
2018,7,131.09032258064516,2018-07-01
2018,8,128.63548387096773,2018-08-01
2018,9,128.39666666666668,2018-09-01
2018,10,130.2258064516129,2018-10-01
2018,11,131.60666666666665,2018-11-01
2018,12,133.2774193548387,2018-12-01
2019,1,132.51290322580644,2019-01-01
2019,2,133.69642857142858,2019-02-01
2019,3,133.0225806451613,2019-03-01
2019,4,133.58666666666667,2019-04-01
2019,5,134.38709677419354,2019-05-01
2019,6,131.45,2019-06-01
2019,7,132.1741935483871,2019-07-01
2019,8,133.42903225806452,2019-08-01
2019,9,133.82,2019-09-01
2019,10,136.15483870967742,2019-10-01
2019,11,136.4,2019-11-01
2019,12,134.71290322580646,2019-12-01
2020,1,138.2516129032258,2020-01-01
2020,2,137.58620689655172,2020-02-01
2020,3,133.7741935483871,2020-03-01
2020,4,134.63666666666666,2020-04-01
2020,5,138.21935483870968,2020-05-01
2020,6,140.54333333333332,2020-06-01
2020,7,139.7774193548387,2020-07-01
2020,8,139.4967741935484,2020-08-01
2020,9,139.75666666666666,2020-09-01
2020,10,141.6741935483871,2020-10-01
2020,11,140.69333333333333,2020-11-01
2020,12,140.23870967741937,2020-12-01
2021,1,139.00645161290322,2021-01-01
2021,2,140.90357142857144,2021-02-01
2021,3,142.04516129032257,2021-03-01
2021,4,142.56,2021-04-01
2021,5,141.2225806451613,2021-05-01
2021,6,139.83666666666667,2021-06-01
2021,7,138.63225806451612,2021-07-01
2021,8,137.40645161290323,2021-08-01
2021,9,135.90666666666667,2021-09-01
2021,10,137.54516129032257,2021-10-01
2021,11,140.22333333333333,2021-11-01
2021,12,142,2021-12-01
2022,1,141.67096774193547,2022-01-01
2022,2,141.27142857142857,2022-02-01
2022,3,140.8709677419355,2022-03-01
2022,4,140.82,2022-04-01
2022,5,141.42903225806452,2022-05-01
2022,6,142.05,2022-06-01
2022,7,142.66129032258064,2022-07-01
2022,8,143.3,2022-08-01
2022,9,143.91,2022-09-01
2022,10,144.52903225806452,2022-10-01
2022,11,145.15,2022-11-01
2022,12,145.76129032258063,2022-12-01
2023,1,146.4,2023-01-01
2023,2,146.9892857142857,2023-02-01
2023,3,147.59032258064516,2023-03-01
2023,4,148.21,2023-04-01
2023,5,148.81935483870967,2023-05-01
2023,6,149.44666666666666,2023-06-01
2023,7,149.73225806451615,2023-07-01
2023,8,148.63870967741934,2023-08-01
2023,9,147.73333333333332,2023-09-01
2023,10,147.16129032258064,2023-10-01
2023,11,146.52333333333334,2023-11-01
2023,12,145.80645161290323,2023-12-01
2024,1,146.86129032258066,2024-01-01
2024,2,148.41724137931035,2024-02-01
2024,3,148.78387096774193,2024-03-01
2024,4,147.13666666666666,2024-04-01
2024,5,145.21290322580646,2024-05-01
2024,6,143.82999999999998,2024-06-01
2024,7,143.6,2024-07-01
2024,8,143.6,2024-08-01
2024,9,142.87333333333333,2024-09-01
2024,10,140.5032258064516,2024-10-01
2024,11,141.09,2024-11-01
2024,12,142.51290322580644,2024-12-01
2025,1,140.91290322580645,2025-01-01
2025,2,140.20357142857142,2025-02-01
2025,3,141.24193548387098,2025-03-01
2025,4,140.27333333333334,2025-04-01
2025,5,139.00645161290322,2025-05-01
2025,6,137.82,2025-06-01
2025,7,135.31935483870967,2025-07-01
2025,8,135.91333333333333,2025-08-01
